"Step","patch size 2 - validation_accuracy","patch size 2 - validation_accuracy__MIN","patch size 2 - validation_accuracy__MAX","patch size 16 - validation_accuracy","patch size 16 - validation_accuracy__MIN","patch size 16 - validation_accuracy__MAX","patch size 12 - validation_accuracy","patch size 12 - validation_accuracy__MIN","patch size 12 - validation_accuracy__MAX","patch size 6 - validation_accuracy","patch size 6 - validation_accuracy__MIN","patch size 6 - validation_accuracy__MAX","patch size 3 - validation_accuracy","patch size 3 - validation_accuracy__MIN","patch size 3 - validation_accuracy__MAX"
"40","77.10622710622711","77.10622710622711","77.10622710622711","74.05372405372405","74.05372405372405","74.05372405372405","75.76312576312576","75.76312576312576","75.76312576312576","79.97557997557998","79.97557997557998","79.97557997557998","77.80830280830281","77.80830280830281","77.80830280830281"
"41","75.54945054945055","75.54945054945055","75.54945054945055","73.68742368742369","73.68742368742369","73.68742368742369","75.73260073260073","75.73260073260073","75.73260073260073","77.86935286935287","77.86935286935287","77.86935286935287","77.93040293040293","77.93040293040293","77.93040293040293"
"42","73.96214896214896","73.96214896214896","73.96214896214896","73.77899877899878","73.77899877899878","73.77899877899878","75.36630036630036","75.36630036630036","75.36630036630036","78.84615384615384","78.84615384615384","78.84615384615384","77.53357753357753","77.53357753357753","77.53357753357753"
"43","74.96947496947497","74.96947496947497","74.96947496947497","73.80952380952381","73.80952380952381","73.80952380952381","76.0989010989011","76.0989010989011","76.0989010989011","77.74725274725274","77.74725274725274","77.74725274725274","78.69352869352869","78.69352869352869","78.69352869352869"
"44","76.73992673992674","76.73992673992674","76.73992673992674","74.32844932844932","74.32844932844932","74.32844932844932","75.06105006105007","75.06105006105007","75.06105006105007","77.47252747252747","77.47252747252747","77.47252747252747","76.95360195360195","76.95360195360195","76.95360195360195"
"45","77.1978021978022","77.1978021978022","77.1978021978022","73.96214896214896","73.96214896214896","73.96214896214896","74.72527472527473","74.72527472527473","74.72527472527473","77.99145299145299","77.99145299145299","77.99145299145299","77.25885225885226","77.25885225885226","77.25885225885226"
"46","76.83150183150182","76.83150183150182","76.83150183150182","73.96214896214896","73.96214896214896","73.96214896214896","75.67155067155068","75.67155067155068","75.67155067155068","78.3882783882784","78.3882783882784","78.3882783882784","78.6019536019536","78.6019536019536","78.6019536019536"
"47","76.12942612942614","76.12942612942614","76.12942612942614","73.74847374847374","73.74847374847374","73.74847374847374","75.67155067155068","75.67155067155068","75.67155067155068","78.2967032967033","78.2967032967033","78.2967032967033","77.25885225885226","77.25885225885226","77.25885225885226"
"48","76.8009768009768","76.8009768009768","76.8009768009768","73.74847374847374","73.74847374847374","73.74847374847374","75.39682539682539","75.39682539682539","75.39682539682539","78.47985347985347","78.47985347985347","78.47985347985347","78.17460317460318","78.17460317460318","78.17460317460318"
"49","77.44200244200245","77.44200244200245","77.44200244200245","73.53479853479854","73.53479853479854","73.53479853479854","75.42735042735043","75.42735042735043","75.42735042735043","78.78510378510379","78.78510378510379","78.78510378510379","77.35042735042735","77.35042735042735","77.35042735042735"
"50","77.53357753357753","77.53357753357753","77.53357753357753","73.9010989010989","73.9010989010989","73.9010989010989","75.51892551892551","75.51892551892551","75.51892551892551","78.78510378510379","78.78510378510379","78.78510378510379","78.54090354090354","78.54090354090354","78.54090354090354"
